VBS_sample_id,contributor,country,location,collection_year,collection_month,latitude,longitude,date_of_collection,collection_context,collection_method,collection_time,collector_sample_id,sample_type,specimen_sex_partner,specimen_storage_partner,Lifestage,dna_extraction_method_partner,sample_type_received,body_part_lab,dna_extraction_method_lab,total_dna_lab,species_pcr,sequencing_pipeline,mean_cov,median_cov,modal_cov,mean_cov_2RL,median_cov_2RL,mode_cov_2RL,mean_cov_3RL,median_cov_3RL,mode_cov_3RL,mean_cov_X,median_cov_X,mode_cov_X,frac_gen_cov,divergence,pc_contam,LLR,sex_call,PCA_QC_outlier,FILTER_frac_genome_cov,FILTER_median_cov,FILTER_contamination,FILTER_nosexcall,FILTER_divergence,FILTER_pca,sample_set,adm_level,geographic_cohort,geographic_cohort_code,geographic_cohort_colour,geographic_cohort_shape,PCA_cohort,PCA_cohort_colour,karyotype_3La,karyotype_3Ra,karyotype_3Rb,karyotype_2Ra,karyotype_2Rh,karyotype_2Rt,mitochondrial_id,subset_1,subset_2,subset_3,heterozygous_sites,raw_total_sequences,reads_mapped,reads_mapped_and_paired,reads_unmapped,reads_properly_paired,reads_paired,reads_duplicated,reads_MQ0,non-primary_alignments,total_length,bases_mapped,bases_mapped_(cigar),bases_duplicated,mismatches,error_rate,average_quality,insert_size_average,insert_size_standard_deviation,inward_oriented_pairs,outward_oriented_pairs,pairs_with_other_orientation,pairs_on_different_chromosomes,ena_run_accessions
VBS17273,Charles Wondji,Ghana,Obuasi,2014,3,5.9333333,-1.6166666,1/3/2014,Indoor,Indoor resting catch,06:30 to 10:00,300,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,82.2,fun,STD,29.9,29,29,30.04,29,29,29.83,29,29,29.52,29,29,0.94,0.01865,1.783,1960.044,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Ashanti Region,",Ghana_Ashanti-Region,GH-A,#2ca02c,circle,Equatorial,#d62728,3La/a,3R+/a,3R+/b,2R+/+,2Rh/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2722157,83777884,68877533,65996018,14900351,60320136,83777884,7811900,17357728,4218871,12650460484,10400507483,9540018139,1179596900,258295282,0.0271,37.1,647.2,1240.7,29604938,1165800,348018,1738025,"ERR2659715,ERR2659750,ERR2659785"
VBS17275,Charles Wondji,Ghana,Obuasi,2014,3,5.9333333,-1.6166666,1/3/2014,Indoor,Indoor resting catch,06:30 to 10:00,368,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,213.3,fun,STD,42.69,42,42,43.07,43,43,42.71,42,42,40.79,41,42,0.944,0.01843,1.45,2409.636,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Ashanti Region,",Ghana_Ashanti-Region,GH-A,#2ca02c,circle,Equatorial,#d62728,3La/a,3Ra/a,3Rb/b,2R+/+,2Rh/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2655825,84927504,84007653,83642660,919851,77817470,84927504,7705343,15141777,4600831,12824053104,12685155603,12196717999,1163506793,339270847,0.0278,36.9,633.7,1133.1,38507917,1123954,378739,1699440,"ERR2659698,ERR2659943,ERR2659978"
VBS17277,Charles Wondji,Ghana,Obuasi,2014,3,5.9333333,-1.6166666,1/3/2014,Indoor,Indoor resting catch,06:30 to 10:00,390,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,155.8,fun,STD,42.5,42,42,42.99,43,43,42.44,42,42,40.4,41,42,0.946,0.01839,1.986,4233.415,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Ashanti Region,",Ghana_Ashanti-Region,GH-A,#2ca02c,circle,Equatorial,#d62728,3La/a,3Ra/a,3Rb/b,2R+/+,2Rh/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2679612,84053420,82959233,82545346,1094187,76847940,84053420,7556397,14675907,4473691,12692066420,12526844183,12043277851,1141015947,331554268,0.0275,37.2,622,1110.3,38039469,1081367,356084,1688117,"ERR2659688,ERR2659933,ERR2659968"
VBS17278,Charles Wondji,Ghana,Obuasi,2014,3,5.9333333,-1.6166666,1/3/2014,Indoor,Indoor resting catch,06:30 to 10:00,393,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,223.8,fun,STD,37.35,37,37,37.64,37,37,37.5,37,37,35.38,35,36,0.942,0.01873,1.067,1250.297,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Ashanti Region,",Ghana_Ashanti-Region,GH-A,#2ca02c,circle,Equatorial,#d62728,3La/a,3R+/a,3Rb/b,2R+/+,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2782944,76370778,75638681,75329134,732097,70016012,76370778,7295376,14695453,4230556,11531987478,11421440831,10980197516,1101601776,294681307,0.0268,37.4,618.1,1111.2,34618006,1015555,316751,1590782,"ERR2659211,ERR2659515,ERR2659549"
VBS17282,Charles Wondji,Ghana,Obuasi,2014,3,5.9333333,-1.6166666,1/3/2014,Indoor,Indoor resting catch,06:30 to 10:00,144,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,164.4,Rivulorum,STD,43.29,43,43,43.65,43,43,43.36,43,43,41.22,41,42,0.944,0.01865,1.239,1715.372,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Ashanti Region,",Ghana_Ashanti-Region,GH-A,#2ca02c,circle,Equatorial,#d62728,3La/a,3R+/a,3R+/b,2R+/+,2Rh/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2738761,89926780,89406030,89150722,520750,83020472,89926780,8040345,18867343,4724567,13578943780,13500310530,13019178639,1214092095,349571571,0.0269,37.3,591.4,1080,40996542,1235256,349022,1864511,"ERR2659674,ERR2659919,ERR2659954"
VBS17283,Charles Wondji,Ghana,Obuasi,2014,3,5.9333333,-1.6166666,1/3/2014,Indoor,Indoor resting catch,06:30 to 10:00,20,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,222.6,fun/riv?/par?,STD,13.82,13,13,13.87,13,13,13.81,13,13,13.59,13,13,0.932,0.01906,3.127,2055.444,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Ashanti Region,",Ghana_Ashanti-Region,GH-A,#2ca02c,circle,Equatorial,#d62728,3La/a,3Ra/a,3Rb/b,2R+/+,2Rh/h,2R+/+,funestus-lineageI-clusterA,Y,N,N,3001761,73704646,35926955,30401482,37777691,27180126,73704646,6496916,11605579,2270090,11129401546,5424970205,4397650931,981034316,111061812,0.0253,37.5,718.7,1408.5,13413192,492752,221151,987812,"ERR2659189,ERR2659493,ERR2659527"
VBS17286,Charles Wondji,Ghana,Obuasi,2014,3,5.9333333,-1.6166666,1/3/2014,Indoor,Indoor resting catch,06:30 to 10:00,33,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,216,fun,STD,38.05,38,38,38.24,38,38,38.21,38,38,36.45,36,37,0.941,0.01884,0.969,1098.285,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Ashanti Region,",Ghana_Ashanti-Region,GH-A,#2ca02c,circle,Equatorial,#d62728,3La/a,3R+/a,3Rb/b,2R+/+,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2780682,79840692,79264647,78978022,576045,73507944,79840692,7722587,17042044,4270429,12055944492,11968961697,11511404801,1166110637,303282995,0.0263,37.5,595.6,1092.8,36251542,1106006,330633,1662963,"ERR2659209,ERR2659513,ERR2659547"
VBS17288,Charles Wondji,Ghana,Obuasi,2014,3,5.9333333,-1.6166666,1/3/2014,Indoor,Indoor resting catch,06:30 to 10:00,35,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,191.2,fun,STD,43.62,43,44,44.05,44,44,43.64,43,44,41.49,42,43,0.943,0.01847,1.299,2061.755,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Ashanti Region,",Ghana_Ashanti-Region,GH-A,#2ca02c,circle,Equatorial,#d62728,3La/a,3Ra/a,3Rb/b,2R+/+,2Rh/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2646976,86453064,85460480,85018412,992584,79053866,86453064,8704573,14625424,4671631,13054412664,12904532480,12406908471,1314390523,341287896,0.0275,37,630.7,1132,39269498,1002114,377383,1760784,"ERR2659560,ERR2659595,ERR2659630"
VBS17289,Charles Wondji,Ghana,Obuasi,2014,3,5.9333333,-1.6166666,1/3/2014,Indoor,Indoor resting catch,06:30 to 10:00,28,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,267.2,fun,STD,34.32,34,34,34.58,34,34,34.33,34,34,33.07,33,34,0.942,0.0184,1.46,1990.126,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Ashanti Region,",Ghana_Ashanti-Region,GH-A,#2ca02c,circle,Equatorial,#d62728,3La/a,3Ra/a,3Rb/b,2R+/+,2Rh/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2670331,71647760,70109343,69696976,1538417,64763912,71647760,6714044,14357735,4005261,10818811760,10586510793,10139574968,1013820644,269490676,0.0266,37.3,617.6,1111.9,32046386,895412,292813,1488942,"ERR2659316,ERR2659351,ERR2659386"
VBS17290,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,192,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,68.9,fun,STD,23.67,23,23,23.71,23,23,23.74,23,23,23.26,22,22,0.942,0.01735,3.304,4846.077,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3La/a,3Ra/a,3Rb/b,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2341156,68698258,55398506,52254042,13299752,47031198,68698258,5774306,14697180,3921949,10373436958,8365174406,7479224229,871920206,195862292,0.0262,36.8,718.1,1356,23187428,871992,341221,1607339,"ERR2659705,ERR2659740,ERR2659775"
VBS17316,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,98,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,180.6,fun,STD,102.97,104,105,104.13,105,105,102.97,104,105,97.45,102,105,0.952,0.0178,0.997,3441.462,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/a,3Ra/a,3R+/b,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2422247,207747886,199726145,197930108,8021741,184610662,207747886,20793475,32396001,11045911,31369930786,30158647895,28896957965,3139814725,757472532,0.0262,37.3,605.3,1136.7,91697238,2284569,923357,3813406,"ERR2659591,ERR2659626,ERR2659661,ERR2602472,ERR2602480"
VBS17317,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,100,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,66.4,fun,STD,33.96,33,33,34.33,34,33,34.01,33,33,32.04,32,33,0.94,0.01851,1.372,2103.812,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/+,3R+/+,3R+/+,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2267977,81400626,69594006,66917312,11806620,61461264,81400626,7685223,14329805,4407948,12291494526,10508694906,9661583954,1160468673,260675251,0.027,37.3,646.3,1276,30482446,836590,399775,1588117,"ERR2659703,ERR2659738,ERR2659773"
VBS17318,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,102,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,98,fun,STD,32.46,32,32,32.7,32,32,32.46,32,32,31.29,31,32,0.942,0.01831,1.299,1639.995,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/+,3R+/+,3R+/b,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,N,2421531,67500606,64911317,64244934,2589289,59615116,67500606,6496651,12116395,3669034,10192591506,9801608867,9342360342,980994301,249462778,0.0267,37.3,638.4,1168.2,29600017,786053,309745,1334786,"ERR2659306,ERR2659341,ERR2659376"
VBS17319,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,103,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,150.7,fun,STD,43.86,44,44,44.28,44,44,43.86,43,44,41.86,42,43,0.945,0.01796,1.314,1836.218,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/a,3R+/a,3R+/b,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2537430,88262748,86516594,86039760,1746154,80449464,88262748,9564351,15131804,4476089,13327674948,13064005694,12562016916,1444217001,324090569,0.0258,37.6,599.1,1109.4,40053367,874802,368474,1623684,"ERR2659296,ERR2659331,ERR2659366"
VBS17320,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,104,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,78.3,fun,STD,37.24,37,37,37.56,37,37,37.34,37,37,35.3,36,37,0.94,0.01865,1.174,1804.151,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/+,3R+/+,3R+/+,2Ra/a,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2272746,73199092,72537507,72205470,661585,67338632,73199092,7133803,13049917,3945774,11053062892,10953163557,10515800077,1077204253,285664318,0.0272,37.1,624.1,1133.9,33517088,746777,339199,1411169,"ERR2659701,ERR2659736,ERR2659771"
VBS17323,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,119,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,83.1,fun,STD,11.75,11,11,11.8,11,11,11.73,11,10,11.54,11,10,0.926,0.0194,2.597,1548.298,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/a,3R+/+,3R+/+,2Ra/a,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,N,N,2828602,100406472,35515286,26399596,64891186,23191758,100406472,9974279,13080827,2241484,15161377272,5362808186,3752036591,1506116129,91529616,0.0244,37.6,726.6,1612.9,11082011,537757,249980,959674,"ERR2659707,ERR2659742,ERR2659777"
VBS17326,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,165,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,139.5,fun,STD,39.19,39,39,39.66,39,39,39.1,39,39,37.27,37,38,0.942,0.01851,1.295,2396.464,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/+,3R+/+,3R+/+,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2261668,77040746,76129652,75769314,911094,70594130,77040746,6146604,14002315,4131326,11633152646,11495577452,11055697402,928137204,298476982,0.027,37.2,629.1,1119.2,35038373,899953,335150,1519005,"ERR2659670,ERR2659915,ERR2659950"
VBS17327,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,168,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,222.6,fun,STD,25.76,25,25,25.93,25,25,25.78,25,25,24.88,24,25,0.94,0.01765,1.696,1666.637,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3La/a,3R+/a,3R+/b,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2478248,88400460,56678068,52442586,31722392,48375750,88400460,7445668,13993834,3026696,13348469460,8558388268,7658203381,1124295868,197637188,0.0258,37,652.6,1199.8,23968371,679114,273988,1208293,"ERR2659564,ERR2659599,ERR2659634"
VBS17328,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,170,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,161.2,fun,STD,32.12,32,32,32.43,32,32,32.17,32,32,30.44,30,31,0.941,0.01811,1.536,2140.218,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3La/a,3R+/+,3R+/+,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2330782,62216190,61669630,61349070,546560,57048122,62216190,5332544,10665155,3310584,9394644690,9312114130,8931233402,805214144,246969258,0.0277,36.8,652.9,1138.5,28320637,731727,284120,1256717,"ERR2659732,ERR2659767,ERR2659802"
VBS17329,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,172,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,169.7,fun,STD,33.14,33,33,33.48,33,33,33.1,33,32,31.63,32,32,0.941,0.01808,1.194,1410.93,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/a,3R+/a,3R+/+,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,N,2431218,71693748,67998212,67163368,3695536,62620022,71693748,7910472,13235437,3719820,10825755948,10267730012,9791135399,1194481272,247135280,0.0252,37.8,602,1116.7,31023258,788566,290630,1363346,"ERR2659415,ERR2659450,ERR2659485"
VBS17330,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,174,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,145.1,fun,STD,33.83,33,33,34.11,34,33,33.88,33,33,32.3,32,33,0.941,0.01836,1.198,1614.35,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/a,3R+/+,3R+/+,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2413572,78890694,70677620,69227864,8213074,64291600,78890694,8838438,13958607,3844389,11912494794,10672320620,10094061850,1334604138,260467459,0.0258,37.8,612.7,1150.5,31832730,878736,321437,1467812,"ERR2659404,ERR2659439,ERR2659474"
VBS17331,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,175,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,127.3,fun,STD,31.6,31,31,31.84,31,31,31.64,31,31,30.31,30,30,0.943,0.0177,1.906,2423.851,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3La/a,3R+/a,3R+/b,2Ra/a,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2387376,72079214,64227077,62646220,7852137,57904362,72079214,5300293,13565378,3619569,10883961314,9698288627,9098899878,800344243,248248366,0.0273,36.7,669.4,1181.7,28683516,826665,309421,1400782,"ERR2659814,ERR2659849,ERR2659884"
VBS17332,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,176,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,122.1,fun,STD,41.63,41,41,41.86,41,41,41.72,41,41,40.18,40,41,0.946,0.01806,1.489,2340.561,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/a,3R+/+,3R+/b,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2448204,87225850,84989255,84445790,2236595,78549466,87225850,8345370,17424797,4514707,13171103350,12833377505,12325914926,1260150870,325563615,0.0264,37,636.7,1132.1,39009339,1013471,368339,1729849,"ERR2659572,ERR2659607,ERR2659642"
VBS17333,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,179,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,145.3,fun,STD,36.66,36,36,37.05,37,36,36.57,36,36,35.09,35,35,0.941,0.01848,1.102,1745.692,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/+,3R+/+,3R+/+,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2325479,81081818,80406973,80110226,674845,74608916,81081818,9876869,17750471,4195311,12243354518,12141452923,11676134070,1491407219,297954825,0.0255,37.7,591.3,1080.2,36783796,1144680,315633,1689784,"ERR2659408,ERR2659443,ERR2659478"
VBS17334,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,183,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,107.9,fun,STD,32.29,32,32,32.43,32,32,32.32,32,31,31.49,31,31,0.944,0.01764,1.207,1440.368,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3La/a,3R+/+,3Rb/b,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2309378,72504144,68037036,67107100,4467108,62058160,72504144,7967839,13750782,3739558,10948125744,10273592436,9773751329,1203143689,250479020,0.0256,37.6,643.3,1157,30690180,949345,299770,1504930,"ERR2659394,ERR2659429,ERR2659464"
VBS17335,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,186,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,102.7,fun,STD,39.04,39,39,39.58,39,39,39.09,39,39,36.25,36,37,0.946,0.01788,3.64,8552.772,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/a,3R+/a,3R+/b,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2583305,82855760,80501319,79835822,2354441,74281038,82855760,7954975,16671291,4443464,12511219760,12155699169,11603132368,1201201225,306971548,0.0265,36.9,628.7,1117.6,36804499,962041,343125,1673881,"ERR2659728,ERR2659763,ERR2659798"
VBS17339,Charles Wondji,Malawi,Chikwawa,2014,-1,-16.016666,34.7893077,1/1/2014,Indoor,Indoor resting catch,06:30 to 10:00,182,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,95.2,fun,STD,39.24,38,38,39.45,39,38,39.59,39,39,36.84,36,37,0.946,0.01791,1.744,2562.652,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Southern Region, Chikwawa",Malawi_Southern-Region,MW,#1f77b4,circle,Southeastern,#1f77b4,3L+/a,3R+/a,3R+/b,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2544960,85425802,80547689,79407638,4878113,73177322,85425802,8716639,15371696,5033334,12899296102,12162701039,11528577287,1316212489,316825595,0.0275,36.8,678.8,1213.9,36177450,1144771,404048,1809247,"ERR2659576,ERR2659611,ERR2659646"
VBS17342,Charles Wondji,Mozambique,Palmeira,2016,4,-25.255277,32.8727777,1/4/2016,Indoor,Indoor resting catch,06:30 to 10:00,4,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,132.2,fun,STD,24.4,24,23,24.52,24,24,24.39,23,23,23.87,23,23,0.939,0.01807,1.635,1688.595,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Maputo, Manhica",Mozambique_Maputo,MZ-M,#17becf,circle,South Mozambique,#17becf,3La/a,3R+/+,3R+/b,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterA,Y,Y,N,2349469,81761920,53999062,50330702,27762858,46439130,81761920,7328563,13139434,2865790,12346049920,8153858362,7341303750,1106613013,185675113,0.0253,37.4,625.7,1197.4,23029294,634551,253315,1164252,"ERR2659286,ERR2659321,ERR2659356"
